Date,High,Low,Open,Close,Volume,Adj Close
1998-02-27,18.0,17.375,17.375,17.375,50000,14.636862754821777
1998-03-02,17.25,17.0,17.25,17.25,75000,14.5315580368042
1998-03-03,17.125,16.75,17.125,17.125,35000,14.426257133483887
1998-03-04,15.75,15.5,15.75,15.75,60000,13.2679443359375
1998-03-05,16.125,16.125,16.125,16.125,400,13.583847999572754
1998-03-06,16.375,16.125,16.125,16.125,3600,13.583847999572754
1998-03-09,16.5,15.875,16.125,15.875,3200,13.373247146606445
1998-03-10,16.875,15.875,15.875,16.25,56800,13.689149856567383
1998-03-11,16.5,16.125,16.25,16.25,10400,13.689149856567383
1998-03-12,16.375,16.125,16.25,16.375,3800,13.794452667236328
1998-03-13,16.5,16.5,16.5,16.5,1000,13.899752616882324
1998-03-16,16.5,16.125,16.5,16.125,7700,13.583847999572754
1998-03-17,16.125,15.75,16.125,15.875,28000,13.373247146606445
1998-03-18,16.125,15.75,15.875,16.125,45700,13.583847999572754
1998-03-19,17.375,16.0,16.125,17.125,383600,14.426257133483887
1998-03-20,17.75,17.25,17.25,17.75,275600,14.952760696411133
1998-03-23,19.0,17.375,17.75,18.875,398600,15.900476455688477
1998-03-24,19.875,18.875,18.875,19.75,261800,16.637582778930664
1998-03-25,20.125,19.5,19.75,19.875,135600,16.742877960205078
1998-03-26,19.875,19.25,19.875,19.625,26300,16.532283782958984
1998-03-27,19.75,18.375,19.625,19.25,62200,16.21637725830078
1998-03-30,19.875,19.25,19.25,19.875,49500,16.742877960205078
1998-03-31,20.25,19.875,19.875,20.125,79000,16.953487396240234
1998-04-01,20.625,20.0,20.125,20.5,150100,17.269384384155273
1998-04-02,23.375,21.75,21.75,23.25,140500,19.58601188659668
1998-04-03,26.125,21.75,23.25,24.75,458700,20.849628448486328
1998-04-06,26.0,23.0,24.75,24.0,105300,20.217817306518555
1998-04-07,24.0,22.125,24.0,22.125,152800,18.6382999420166
1998-04-08,23.0,21.0,22.125,22.5,45100,18.954208374023438
1998-04-09,23.0,22.25,22.5,23.0,151400,19.375408172607422
1998-04-13,23.25,22.375,23.0,22.625,85900,19.059505462646484
1998-04-14,23.0,22.5,22.625,22.75,322900,19.164810180664062
1998-04-15,22.875,21.5,22.75,21.75,23100,18.322397232055664
1998-04-16,21.75,20.875,21.75,21.25,55400,17.901195526123047
1998-04-17,21.625,21.0,21.25,21.625,15100,18.21710205078125
1998-04-20,22.125,21.25,21.625,22.125,92900,18.6382999420166
1998-04-21,22.125,21.75,22.125,22.125,23100,18.6382999420166
1998-04-22,23.625,22.125,22.125,23.0,60900,19.375408172607422
1998-04-23,23.5,23.0,23.0,23.5,242300,19.796621322631836
1998-04-24,23.625,22.0,23.5,22.0,100900,18.533004760742188
1998-04-27,22.5,19.875,22.0,20.875,52200,17.585294723510742
1998-04-28,21.875,20.75,20.875,21.5,29100,18.111793518066406
1998-04-29,22.5,21.0,21.5,22.5,101300,18.954208374023438
1998-04-30,23.25,22.375,22.5,23.0,116300,19.375408172607422
1998-05-01,23.125,22.0,23.0,22.125,61000,18.6382999420166
1998-05-04,22.25,21.25,22.125,21.625,58400,18.21710205078125
1998-05-05,21.75,20.75,21.625,21.25,44000,17.901195526123047
1998-05-06,22.0,20.875,21.25,22.0,47300,18.533004760742188
1998-05-07,22.125,21.375,22.0,21.375,230900,18.006492614746094
1998-05-08,22.75,21.75,21.75,22.625,320700,19.059505462646484
1998-05-11,22.75,22.25,22.625,22.375,375200,18.848907470703125
1998-05-12,22.625,22.0,22.375,22.0,333300,18.533004760742188
1998-05-13,22.625,22.125,22.125,22.375,88100,18.848907470703125
1998-05-14,22.5,22.0,22.375,22.5,35600,18.954208374023438
