Date,High,Low,Open,Close,Volume,Adj Close
1999-03-31,517.5,438.0,451.5,497.25,1322933,497.25
1999-04-01,552.0,475.5,550.5,483.0,483233,483.0
1999-04-05,504.0,435.0,501.0,450.75,324917,450.75
1999-04-06,484.125,420.0,452.25,474.0,353900,474.0
1999-04-07,487.5,442.5,480.75,447.0,156617,447.0
1999-04-08,450.75,423.75,447.0,435.0,147767,435.0
1999-04-09,456.0,406.5,432.0,444.0,141933,444.0
1999-04-12,475.5,414.0,420.75,459.375,182833,459.375
1999-04-13,515.25,463.5,472.5,489.0,240033,489.0
1999-04-14,595.5,510.0,554.25,558.75,627933,558.75
1999-04-15,564.0,459.0,564.0,479.25,339117,479.25
1999-04-16,510.0,438.0,486.0,488.25,176683,488.25
1999-04-19,492.0,348.0,490.5,359.25,229150,359.25
1999-04-20,414.0,348.0,359.25,405.75,264100,405.75
1999-04-21,456.0,405.75,429.0,447.0,150483,447.0
1999-04-22,490.5,441.0,486.375,458.25,145683,458.25
1999-04-23,574.5,492.0,516.375,528.0,741767,528.0
1999-04-26,728.625,604.5,626.625,724.5,1352367,724.5
1999-04-27,840.0,720.75,738.75,778.125,1196750,778.125
1999-04-28,806.625,696.0,749.625,726.0,448867,726.0
1999-04-29,833.25,690.0,690.375,826.875,721900,826.875
1999-04-30,990.0,810.0,909.0,974.25,845467,974.25
1999-05-03,953.25,833.25,914.625,835.5,873317,835.5
1999-05-04,900.0,783.75,855.75,804.0,692750,804.0
1999-05-05,912.0,720.75,847.125,907.125,1264033,907.125
1999-05-06,912.0,827.25,888.0,836.625,632083,836.625
1999-05-07,865.875,777.75,865.5,783.9375,569683,783.9375
1999-05-10,791.25,726.0,768.0,768.0,449167,768.0
1999-05-11,808.5,738.0,807.0,738.0,286467,738.0
1999-05-12,774.0,732.0,736.5,756.0,240517,756.0
1999-05-13,792.0,726.0,779.25,729.0,187167,729.0
1999-05-14,807.0,714.0,720.0,796.875,792600,796.875
1999-05-17,793.875,744.0,789.0,790.5,341400,790.5
1999-05-18,838.5,766.125,787.5,816.75,418517,816.75
1999-05-19,865.5,808.5,820.5,855.0,226583,855.0
1999-05-20,870.0,786.75,869.625,806.25,174400,806.25
1999-05-21,874.5,822.0,871.875,833.625,553733,833.625
1999-05-24,833.25,726.75,829.5,752.0625,314600,752.0625
1999-05-25,776.25,618.0,726.0,624.0,540600,624.0
1999-05-26,690.0,582.0,651.0,682.6875,691100,682.6875
1999-05-27,702.0,654.375,676.5,664.875,273617,664.875
1999-05-28,673.5,636.0,642.0,672.1875,194833,672.1875
1999-06-01,663.0,585.0,657.75,596.625,353983,596.625
1999-06-02,634.125,534.75,577.5,557.4375,748050,557.4375
1999-06-03,575.25,504.0,560.25,504.75,448450,504.75
1999-06-04,553.5,500.25,507.0,541.875,431817,541.875
1999-06-07,657.0,549.75,555.0,609.0,738183,609.0
1999-06-08,666.0,609.75,629.25,625.5,560267,625.5
1999-06-09,653.25,617.25,639.75,630.0,224783,630.0
1999-06-10,624.75,600.0,604.125,613.5,290533,613.5
1999-06-11,637.5,570.0,624.0,574.125,268367,574.125
1999-06-14,564.0,459.0,564.0,461.25,534317,461.25
1999-06-15,505.875,448.5,456.75,470.625,544217,470.625
1999-06-16,540.0,502.5,510.0,531.0,522133,531.0
1999-06-17,570.0,502.125,525.0,533.625,439050,533.625
1999-06-18,571.125,546.0,548.25,564.0,257800,564.0
1999-06-21,655.5,571.5,574.5,637.875,484800,637.875
1999-06-22,716.625,634.5,654.375,652.5,766100,652.5
1999-06-23,683.625,624.0,624.0,665.25,435500,665.25
