Date,High,Low,Open,Close,Volume,Adj Close
1992-01-22,0.6796875,0.5390625,0.5390625,0.6328125,168022400,0.5267002582550049
1992-01-23,0.7109375,0.6328125,0.65625,0.6875,38368000,0.5722174644470215
1992-01-24,0.7265625,0.671875,0.6953125,0.6953125,12044800,0.5787200331687927
1992-01-27,0.75,0.6953125,0.7265625,0.75,10716800,0.6242371797561646
1992-01-28,0.7578125,0.7109375,0.7421875,0.734375,19913600,0.611232340335846
1992-01-29,0.734375,0.6796875,0.7109375,0.6796875,13238400,0.5657150149345398
1992-01-30,0.6953125,0.609375,0.6875,0.609375,10848000,0.5071929097175598
1992-01-31,0.6484375,0.609375,0.625,0.6484375,2496000,0.539705216884613
1992-02-03,0.65625,0.6328125,0.65625,0.640625,2320000,0.533202588558197
1992-02-04,0.6796875,0.6484375,0.6484375,0.6796875,2499200,0.5657150149345398
1992-02-05,0.6796875,0.6640625,0.6796875,0.6640625,1148800,0.5527099967002869
1992-02-06,0.6875,0.6640625,0.6796875,0.6875,5504000,0.5722174644470215
1992-02-07,0.6875,0.6484375,0.671875,0.6484375,4560000,0.539705216884613
1992-02-10,0.671875,0.609375,0.6484375,0.6171875,14140800,0.513695240020752
1992-02-11,0.6171875,0.5625,0.6171875,0.5625,9868800,0.46817803382873535
1992-02-12,0.5703125,0.546875,0.5703125,0.5703125,3942400,0.4746803641319275
1992-02-13,0.5703125,0.5390625,0.5703125,0.5546875,3241600,0.4616754651069641
1992-02-14,0.5625,0.53125,0.5625,0.53515625,13753600,0.4454193711280823
1992-02-18,0.546875,0.4765625,0.546875,0.4921875,3046400,0.40965574979782104
1992-02-19,0.5234375,0.4765625,0.4765625,0.5078125,4284800,0.4226606488227844
1992-02-20,0.6015625,0.546875,0.5625,0.5703125,4784000,0.4746803641319275
1992-02-21,0.59375,0.5546875,0.5703125,0.59375,1865600,0.4941878020763397
1992-02-24,0.640625,0.5859375,0.59375,0.6015625,3129600,0.5006904006004333
1992-02-25,0.6171875,0.546875,0.6171875,0.546875,3129600,0.4551730155944824
1992-02-26,0.5625,0.5390625,0.5390625,0.546875,1657600,0.4551730155944824
1992-02-27,0.5625,0.5390625,0.5625,0.5546875,204800,0.4616754651069641
1992-02-28,0.5625,0.5390625,0.546875,0.5546875,227200,0.4616754651069641
1992-03-02,0.5625,0.5,0.5625,0.5078125,5177600,0.4226606488227844
1992-03-03,0.5390625,0.5,0.515625,0.5390625,531200,0.4486705958843231
